State,LGA,Name,Population,Longitude,Latitude
Victoria,27450,Yarra Ranges,160137,145.6970424,-37.71426326
Victoria,27630,Yarriambiack,6346,142.4190158,-35.99005082
Victoria,29399,Unincorporated Vic,964,145.8923688,-37.89936604
Queensland,30250,Aurukun,1163,141.8284547,-13.60936341
Queensland,30300,Balonne,4356,148.1161527,-28.31590632
Queensland,30370,Banana,15053,149.9387102,-24.93515404
Queensland,30410,Barcaldine,2917,145.6934281,-23.11367382
Queensland,30450,Barcoo,317,142.2674676,-25.13105769
Queensland,30760,Blackall Tambo,1969,145.7912629,-24.78561714
Queensland,30900,Boulia,479,139.2464472,-22.48043253
Queensland,31000,Brisbane,1355640,153.0390093,-27.43782844
Queensland,31750,Bulloo,347,142.5948591,-28.02128038
Queensland,31820,Bundaberg,106146,152.0357733,-24.96780314
Queensland,31900,Burdekin,17204,147.2431128,-19.82356964
Queensland,31950,Burke,444,138.9477599,-18.03136329
Queensland,32080,Cairns,178104,145.8190086,-17.16014553
Queensland,32250,Carpentaria,2229,141.3647539,-17.44438359
Queensland,32260,Cassowary Coast,30390,145.92598,-17.95953815
Queensland,32270,Central Highlands Qld,29336,148.4158189,-24.03144396
Queensland,32310,Charters Towers,12040,145.7882104,-20.14884943
Queensland,32330,Cherbourg,1281,151.9359993,-26.28879588
Queensland,32450,Cloncurry,3882,140.2647705,-20.8176909
Queensland,32500,Cook,4824,143.2596705,-14.23595571
Queensland,32600,Croydon,270,142.216809,-18.55408611
Queensland,32750,Diamantina,271,139.7319896,-24.63024843
Queensland,32770,Doomadgee,1473,138.7809613,-17.59651504
Queensland,32810,Douglas,13071,145.2867046,-16.22202752
Queensland,33100,Etheridge,727,143.6604129,-18.50460759
Queensland,33200,Flinders Qld,1552,144.3217349,-20.97386691
Queensland,33220,Fraser Coast,120685,152.6767378,-25.5278892
Queensland,33360,Gladstone,68065,151.3070374,-24.17631045
Queensland,33430,Gold Coast,681389,153.318477,-27.98048867
Queensland,33610,Goondiwindi,10495,150.3398999,-28.37367139
Queensland,33620,Gympie,57449,152.4636414,-26.14702486
Queensland,33800,Hinchinbrook,11162,146.0476164,-18.66188174
Queensland,33830,Hope Vale,1053,145.1915743,-15.16773708
Queensland,33960,Ipswich,259886,152.6674687,-27.66560289
Queensland,33980,Isaac,23197,147.8918588,-22.23808852
Queensland,34420,Kowanyama,1151,141.8105716,-15.31951433
Queensland,34530,Livingstone,42849,150.1934812,-22.79597139
Queensland,34570,Lockhart River,688,143.2402995,-13.00532815
Queensland,34580,Lockyer Valley,45054,152.2405583,-27.64271723
Queensland,34590,Logan,392339,153.040213,-27.76238353
Queensland,34710,Longreach,3758,143.9593264,-23.71812058
Queensland,34770,Mackay,128361,148.8042501,-21.13907887
Queensland,34800,McKinlay,852,141.586972,-20.53398409
Queensland,34830,Mapoon,485,141.9198069,-12.14170327
Queensland,34860,Maranoa,13371,148.2876989,-26.54427082
Queensland,34880,Mareeba,24003,143.9551793,-16.98472377
Queensland,35010,Moreton Bay,522494,152.8831262,-27.11798049
Queensland,35250,Mornington,1087,139.4013201,-16.63181963
Queensland,35300,Mount Isa,18788,138.7822313,-19.95389435
Queensland,35600,Murweh,3992,146.4894831,-26.18966643
Queensland,35670,Napranum,943,142.112448,-12.51575439
Queensland,35740,Noosa,59274,152.9455822,-26.32484164
Queensland,35760,North Burnett,10482,151.2041733,-25.35527083
Queensland,35780,Northern Peninsula Area,2928,142.3128985,-11.00490266
Queensland,35790,Palm Island,2287,146.6002599,-18.73134774
Queensland,35800,Paroo,1729,145.771318,-28.07295441
Queensland,36070,Pormpuraaw,647,141.8074056,-14.71939315
Queensland,36150,Quilpie,709,143.8934456,-26.34881661
Queensland,36250,Redland,170225,153.3608489,-27.56858597
Queensland,36300,Richmond,788,142.9010645,-20.54064204
Queensland,36370,Rockhampton,85334,150.2184274,-23.44113073
Queensland,36510,Scenic Rim,46036,152.7962128,-28.06232703
Queensland,36580,Somerset,26579,152.4252195,-27.00892398
Queensland,36630,South Burnett,34745,151.6469319,-26.40520815
Queensland,36660,Southern Downs,37820,151.8857994,-28.40543228
Queensland,36720,Sunshine Coast,375328,152.898358,-26.69616884
Queensland,36820,Tablelands,27630,145.3305418,-17.93077946
Queensland,36910,Toowoomba,184377,151.5338991,-27.58197961
Queensland,36950,Torres,3495,142.4122844,-10.73114804
Queensland,36960,Torres Strait Island,4289,142.3656044,-9.859100391
Queensland,37010,Townsville,204541,146.7116773,-19.39081993
Queensland,37300,Weipa,4281,141.8797781,-12.63962906
Queensland,37310,Western Downs,35285,150.3476621,-26.84176308
Queensland,37340,Whitsunday,40744,147.7247077,-20.70092667
Queensland,37400,Winton,1141,142.4245054,-22.53913132
Queensland,37550,Woorabinda,1098,149.5255523,-23.9439385
Queensland,37570,Wujal Wujal,301,145.3132,-15.96828995
Queensland,37600,Yarrabah,2659,145.8971672,-16.99452622
South Australia,40070,Adelaide,29118,138.5989198,-34.92196944
South Australia,40120,Adelaide Hills,42368,138.8362364,-34.89281023
South Australia,40150,Adelaide Plains,11302,138.4546843,-34.48060854
South Australia,40220,Alexandrina,30887,138.8783592,-35.35190045
South Australia,40250,Anangu Pitjantjatjara Yankunytjatjara,2654,131.205736,-27.07760647
South Australia,40310,Barossa,26590,139.0016896,-34.62105085
South Australia,40430,Barunga West,2672,137.956344,-33.79895351
South Australia,40520,Berri Barmera,10747,140.4889127,-34.26584096
South Australia,40700,Burnside,47810,138.6598744,-34.93996283
South Australia,40910,Campbelltown SA,57988,138.6822409,-34.88371228
South Australia,41010,Ceduna,3744,133.8724284,-32.102098
South Australia,41060,Charles Sturt,129196,138.5236183,-34.89035156
South Australia,41140,Clare and Gilbert Valleys,9417,138.7359767,-34.0039566
South Australia,41190,Cleve,1757,136.2847581,-33.65029606
South Australia,41330,Coober Pedy,1526,134.752361,-29.01584485
South Australia,41560,Copper Coast,16299,137.7289658,-33.98337913
South Australia,41750,Elliston,1053,135.3446152,-33.5615395
South Australia,41830,Flinders Ranges,1671,138.3011982,-32.07561036
South Australia,41960,Franklin Harbour,1359,136.9644154,-33.53428956
South Australia,42030,Gawler,27182,138.7298892,-34.62211328
South Australia,42110,Goyder,4135,139.0740824,-33.64595766
South Australia,42250,Grant,9140,140.7247508,-37.84608573
South Australia,42600,Holdfast Bay,39308,138.5213172,-35.00113048
South Australia,42750,Kangaroo Island,5167,137.239777,-35.82780576
South Australia,43080,Karoonda East Murray,1026,140.0201019,-34.95049152
South Australia,43220,Kimba,1064,136.143807,-33.00267969
South Australia,43360,Kingston SA,2406,140.0255165,-36.64350229
South Australia,43650,Light,17028,138.8465015,-34.41109207
South Australia,43710,Lower Eyre Peninsula,6237,135.5970862,-34.41244325
South Australia,43790,Loxton Waikerie,11949,140.3516278,-34.50821534
South Australia,44000,Maralinga Tjarutja,102,130.9624736,-29.34982767
South Australia,44060,Marion,99821,138.5397035,-35.0324695
South Australia,44210,Mid Murray,9593,139.4613941,-34.4502073
South Australia,44340,Mitcham,70484,138.6217573,-35.00386214
South Australia,44550,Mount Barker,43619,138.8750116,-35.08579581
South Australia,44620,Mount Gambier,27888,140.7816891,-37.82533181
South Australia,44830,Mount Remarkable,2873,138.2051203,-32.75827088
South Australia,45040,Murray Bridge,23257,139.3017901,-35.15930508
South Australia,45090,Naracoorte Lucindale,8901,140.5473223,-36.97726086
South Australia,45120,Northern Areas,4667,138.511427,-33.28639552
South Australia,45290,Norwood Payneham and St Peters,40062,138.6364569,-34.90756033
South Australia,45340,Onkaparinga,182821,138.5688598,-35.17867452
South Australia,45400,Orroroo Carrieton,890,138.6393612,-32.52075544
South Australia,45540,Peterborough,1682,139.0596484,-32.86410899
South Australia,45680,Playford,111135,138.6629738,-34.68887575
South Australia,45890,Port Adelaide Enfield,141042,138.5615149,-34.84069847
South Australia,46090,Port Augusta,14453,137.7511781,-32.5911232
South Australia,46300,Port Lincoln,15037,135.8511361,-34.72920758
South Australia,46450,Port Pirie,17637,138.1059398,-33.37682876
South Australia,46510,Prospect,23309,138.5979431,-34.88398354
